Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
State Street Logo,"Data Engineer, Officer","$92,500","We are looking for a Data engineer for Cloud Data Lake activities. The candidate should have industry experience (preferably in Financial Services) in supporting enterprise applications and exposure to Cloud based database engineering platforms.
Main Duties and Responsibilities:
End to end Cloud Data Lake design & development including data ingestion, data modeling and data distribution.
Build data integrations between on-prem/cloud-based systems.
Design and develop high volume data ingestion components and solutions to collect data from various sources.
$70,000 - $115,000 Annual",3.5,"Boston, MA",10000+ Employees,1792,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD)
INVID Logo,Data Scientist,-1,"Summary:

A Data Scientist’s roles and responsibilities include extracting data from multiple sources, using machine learning tools to organize data, process, clean, and validate the data, analyze the data for information and patterns, develop prediction systems, present the data in a clear manner, and propose solutions and strategies.

Essential Duties and Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.",4.8,United States,4.8,-1,-1,-1,-1,-1
Camgian Logo,Junior Data Scientist,"$85,537","Camgian is hiring a Junior Data Scientist to apply statistical theory and methods to collect, interpret, and summarize data as well as make predictions and recommended actions based on data. As a Junior Data Scientist, you will work with product managers and business stakeholders to gather and analyze large sets of structured and unstructured data in order to gain insights and drive decision making.

Duties/Responsibilities
Participates in data discover to detect patterns and outliers in customer data
Builds predictive models and machine-learning algorithms",4.8,"Starkville, MS",51 to 200 Employees,2006,Company - Private,Software Development,Information Technology,$25 to $100 million (USD)
Mission Cloud Logo,Machine Learning Engineer,"$159,060","As a Machine Learning Engineer, you will report to the Consulting Manager, Data, Analytics & Machine Learning and work with our Big Data Consultants and Architects to design, develop, and build MLOps workflows and help deploy machine learning models to solve complex business problems. You will help our customers build modern data solutions on the AWS stack.

This position is 100% remote with up to 25% travel required.
Responsibilities
Under the supervision of Big Data Consultants and Architects, work with multiple clients simultaneously to implement enterprise-wide scalable operations on AWS",3.7,United States,201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
LeafLink Logo,Staff Data Scientist,"$160,000","About LeafLink
LeafLink is the largest unified B2B cannabis platform, providing licensed cannabis businesses a suite of tools to manage their business more effectively, sell or order from their favorite brands and accelerate growth. We are one platform, one solution and we're defining the way thousands of cannabis brands, distributors and retailers streamline their operations. With thousands of brands and retailers across 30+ markets in North America, we are setting the industry standard for how cannabis businesses grow together. LeafLink processes more than $4.4 billion in wholesale cannabis orders annually.
Our team, backed by funding from leading VC's, including Founders Fund, Thrive Capital, Nosara Capital, and Lerer Hippeau is poised to define the cannabis supply chain through technology. LeafLink was named one of Inc. 5000's 'Top 5000 Fastest-Growing Private Companies', one of Built In NYC's 'Best Places to Work in 2021', as well as one of Fast Company's 'Top 10 Most Innovative Companies in Enterprise for 2020', joining the ranks of Amazon, Slack, and VMWare - and we're just getting started!",3.3,Remote,51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Fivetran Logo,Lead Data Scientist,"$229,410","From Fivetran's founding until now, our mission has remained the same: to make access to data as simple and reliable as electricity. With Fivetran, customer data arrives in their warehouses, canonical and ready to query, with no engineering or maintenance required. We're proud that more organizations continue to leverage our technology every day to become truly data-driven.

About the Role
Fivetran is building data pipelines to power the modern data stack for thousands of companies.
We're looking for a Lead Data Scientist / Statistician, a staff-level technical leader for our Data Analytics department. You will be instrumental in heavy statistical analyses to drive improved performance, reliability, and analytical power for our customers looking to understand their own production databases.",3.3,"Oakland, CA",1001 to 5000 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD)
Triunity Software Logo,Data Scientist,"$150,000","Data Scientist (NYC, LA, SF or Seattle)
Onsite Hybrid role - 3 days a week

We are seeking a highly motivated and talented Senior Data Scientist to join our team of experts in developing and maintaining recommendation and personalization algorithms for Disney Streaming's suite of streaming video apps. As a member of our team, you will play a pivotal role in shaping the future of our streaming services by applying state-of-the-art machine learning methods to meet strategic product personalization goals.

o Utilize cutting-edge machine learning techniques to develop and enhance algorithms for personalization, recommendation, and predictive systems.
o Take ownership of maintaining and optimizing algorithms deployed in production environments.
o Serve as the point person for explaining methodologies to both technical and non-technical teams, fostering clear communication.
o Conduct in-depth analysis of user interactions within our apps and user profiles to drive improvements in key personalization metrics.
o Collaborate with data scientists and engineers to refine algorithms and enhance their performance continually.
o Innovate and develop machine learning products that can be used for new production features or by downstream production algorithms.
o Work closely with cross-functional teams to prototype and operationalize personalization solutions.
o Maintain and establish best practices for algorithm development, testing, and deployment, ensuring high-quality code and efficient processes.
o Identify and define new personalization opportunities by collaborating with product and business stakeholders.
o Collaborate with other data teams to improve data collection, experimentation, and analysis methods.

Required Qualifications:

Additional Preferred Qualifications:",4.9,"Los Angeles, CA",1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Avery Dennison Logo,Data Scientist,"$118,839","Company Description

Avery Dennison Corporation (NYSE: AVY) is a global materials science and digital identification solutions company that provides branding and information labeling solutions, including pressure-sensitive materials, radio-frequency identification (RFID) inlays and tags, and a variety of converted products and solutions. The company designs and manufactures a wide range of labeling and functional materials that enhance branded packaging, carry or display information that connects the physical and the digital, and improve customers’ product performance. The company serves an array of industries worldwide, including home and personal care, apparel, e-commerce, logistics, food and grocery, pharmaceuticals and automotive. The company employs approximately 36,000 employees in more than 50 countries. Reported sales in 2022 were $9.0 billion. Learn more at www.averydennison.com.",3.9,"Mentor, OH",10000+ Employees,1935,Company - Public,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD)
Newfront Logo,Lead Data Scientist,"$162,900","From the Mayflower to the moon landing, every venture relies on insurance. The 1 trillion dollar insurance industry is fundamental to our economy, but has been slow to modernize. It’s a fragmented market that represents an enormous opportunity. We’re the fastest-growing brokerage in the country because we’re built for the 21st century.

By building a tech-driven insurance brokerage, we're able to transform the experience for our clients and teammates. Our platform eliminates paperwork for clients and gives them a modern dashboard to administer their Property & Casualty and Employee Benefits. For our internal teams, we take repetitive tasks off their plate by automating hundreds of workflows. Finally, we use data and analytics to negotiate with the insurance markets and find the best coverage and pricing.",4.0,Remote,501 to 1000 Employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Itron Logo,Data Scientist,"$127,500","Through insightful technology and services, Itron is helping utilities and cities around the world better manage energy and water for generations to come. Itron's Sales Excellence organization is looking for a Data Scientist to join their team.

Job Duties & Responsibilities:
Develop expertise in Customer Market Experience's (CME) business and help translate that into high value-added advisory solutions to stakeholders.
Create, manage, and own data warehouse; bridge data from different servers into a single source
Assist on projects using data-exploration techniques to identify new or previously unasked questions.",3.9,"Austin, TX",5001 to 10000 Employees,1977,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
FanDuel Logo,Data Scientist,"$112,838","ABOUT FANDUEL
FanDuel Group (""FanDuel"") is an innovative sports-tech entertainment company that is changing the way consumers engage with their favorite sports, teams, and leagues. The premier gaming destination in the United States, FanDuel consists of a portfolio of leading brands across gaming, sports betting, daily fantasy sports, advance-deposit wagering, and TV/media.
FanDuel has a presence across all 50 states with approximately 17 million customers and 28 retail locations. FanDuel is based in New York with offices in New Jersey, Georgia, California, Oregon, Canada and Scotland.
Its networks FanDuel TV and FanDuel+ are broadly distributed on linear cable television and through its relationships with leading direct-to-consumer over-the-top platforms.",4.1,"Jersey City, NJ",501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
Veho Logo,"Senior Data Scientist, Fullstack","$162,500","About Veho
Veho is the post-purchase experience company that unlocks the potential of everyday consumers and brands to fully participate in e-commerce. Building an entirely new end-to-end logistics infrastructure, powered by the latest technology and designed for the modern era of shopping, Veho is reinventing shipping, and all parts of the post-purchase experience as we know it. By removing the pain from delivery and returns, Veho is creating powerful opportunities for brands to engage and build deep loyalty with their customers like never before.
Responsibilities Include:
Understanding business context and gathering requirements",2.7,Remote,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Fractal Analytics Logo,Data Scientist,-1,"It's fun to work in a company where people truly BELIEVE in what they are doing!
We're committed to bringing passion and customer focus to the business.
Fractal is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets. An ecosystem where human imagination is at the heart of every decision. Where no possibility is written off, only challenged to get better. We believe that a true Fractalite is the one who empowers imagination with intelligence.
Please visit
Fractal | Intelligence for Imagination
for more information about Fractal",4.1,California,4.1,-1,-1,-1,-1,-1
Hang Logo,Data Scientist,-1,"Hang is building the future of loyalty for brands.
Hang is the next generation brand loyalty & membership platform. By harnessing the power of personalization, gamification, and its integrations ecosystem, Hang provides brands with a radically new type of loyalty experience for their customers.
Today, they work with a variety of major brands (such as Ulta Beauty, Budweiser, Flipkart, and more), as well as multiple well-known, up-and-coming restaurant chains (Boba Guys, Roam Artisan Burger, and Williamsburg Pizza, among several others).",5.0,California,5.0,-1,-1,-1,-1,-1
WILLIAM C BROWN INC (WCBinc) Logo,Data Scientist,"$96,890","WCBinc is looking for a Data Scientist to join our team to support our intelligence customer activities in Springfield, VA.
This position supports the Geospatial Services & Solutions business area to provide high-quality, cost-effective solutions to the customer. As part of the GSS Team the Data Scientist's expertise is needed to support a sophisticated enterprise environment.
The Scientist is an active participant in SAFe and Scrum development teams and meetings.
SPECIFIC DUTIES AND RESPONSIBILITIES:

Identify data sources and automate collection processes",3.9,"Springfield, VA",51 to 200 Employees,--,Contract,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
WindESCo Logo,Data Scientist,-1,"If you have a desire to grow with a dynamic company making a major contribution to renewable energy, have great advancement opportunities as we expand our solutions worldwide, and thrive in a fast paced, exciting environment, then this opportunity with WindESCo is for you.
WindESCo is a rapidly growing company improving our planet by increasing the green energy output from existing wind farms. We do this by combining engineering expertise, advanced algorithms and machine learning. Our solutions are currently optimizing wind farms in 19 countries and 41 customers. We have an immediate opening for a Data Scientist in our Product Development team with the option to work remotely or at our headquarters in Burlington, MA. We are looking for candidates that think big, can thrive in our team-oriented culture and want to help change the world.",3.0,Remote,3.0,-1,-1,-1,-1,-1
UNKNOWN ,Data Scientist,-1,"Coeadapt is seeking a highly skilled and creative data scientist with a passion for optimizing data models and delivering impactful insights. The ideal candidate will be proficient in various statistical and machine learning techniques and have a proven track record of applying those methodologies to real-world business problems. The successful Data Scientist will play a pivotal role in our organization's growth and success by guiding our decisions and enriching our understanding of our customers and market.

Key Responsibilities:
Collaborate with cross-functional teams to identify and execute data-driven solutions that drive business growth and optimize operations.",-1,Remote,-1,-1,-1,-1,-1,-1
Parafin Logo,"Data Scientist, Analytics","$162,500","About Us:
At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.

Parafin's first product offers capital-as-a-service for online platforms. Parafin currently powers the capital programs of platforms ranging from Series B to post-IPO companies such as DoorDash, Amazon, and Worldpay. We are a tight-knit team of engineers and designers, coming from organizations such as Stripe, Square, Plaid, Coinbase, Robinhood, Affirm, Uber, and CERN, and are excited both about helping hundreds of thousands of small businesses grow and thrive, and building products that leaders at top companies have started to use every day.

We are backed by prominent venture capitalists such as Ribbit Capital, Thrive Capital, GIC, Index Ventures, Green Oaks Capital, and SV Angel.",4.1,"San Francisco, CA",51 to 200 Employees,2020,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
Thumbtack Logo,"Data Scientist, Business Analytics","$141,402","A home is the biggest investment most people make, and yet, it doesn't come with a manual. That's why we're building the only app homeowners need to effortlessly manage their homes — knowing what to do, when to do it, and who to hire. With Thumbtack, millions of people care for what matters most, and pros earn billions of dollars through our platform. And as one of the fastest-growing companies in a $600B+ industry — we must be doing something right.
We are driven by a common goal and the deep satisfaction that comes from knowing our work supports local economies, helps small businesses grow, and brings homeowners peace of mind. We're seeking people who continually put our purpose first: advocating for pros and customers, embracing change, and choosing teamwork every day.",4.1,"San Francisco, CA",1001 to 5000 Employees,2008,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
SAP Logo,Senior AI/ML Applied Scientist - Enterprise Data,"$173,081","We help the world run better
Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now!

Summary:
At SAP, we amplify the strength of AI technology, fusing it with our robust industry-focused data and profound process knowledge. Our vision is to infuse every SAP application with sophisticated AI capabilities, revolutionizing the way businesses operate. Large Language Models (LLMs) hold immense potential to change the way we work and develop products. They are reshaping the landscape of Machine Learning across various domains. SAP AI Product Engineering is responsible for designing central frameworks and cloud services such as Joule, Generative AI Hub, AI Core, and Document Information Extraction as the AI foundation for embedded AI throughout our portfolio in addition to our efforts towards SAP’s foundation models, both our own tabular business models and building on top of partner LLMs, and generative AI technologies.",4.3,"Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
UNKNOWN ,Data Scientist,-1,"Posted 4 years ago

Working with our DW team, you will architect our data requirements and work with various HealthVerity tools to solve the most complex problems. You will become our in-house HealthVerity expert while engaging with product owners and external clients to understand the technical and operational challenges of diverse data models, data collection processes and needs. You will also become the go-to resource for Our team because of your HealthVerity expertise, extensive knowledge of healthcare data and your strong SQL skills.

What you will do

Analyze all data assets and address complex data anomalies
Provide guidance and support during onboarding process which includes data ingestion, normalization, and QC activities
Use expertise with all healthcare data types: medical claims transactions (e.g. 837 and 835), pharmacy claims (NCPDP D.0), EMR/EHR, lab transactions, and other emerging data assets to guide team in all decisions and architecture challenges
Map de-identified healthcare data to proprietary data structures
Support Data Architecture activities in the mapping and normalization process, providing expertise and authority within the team on accurate meanings in source data.

About You

Extensive experience using HealthVerity suite of services
A data Czar with unmatched SQL skills and a passion for doing the right thing
A self-starter who enjoys working in a small, rapidly changing, fast-paced environment
A leader who is not afraid to guide and course correct a process or team when required
A Big Data enthusiast who will executes through several approaches to determine the best fit
Energized by learning even if outside the scope of day-to-day responsibilities
Comfortable working on several different tasks as dictated by the business
Clear and concise communicator

Desired Skills and Experience

BS degree in math, statistics, or similar
4+ years experience in the healthcare data industry, preferably in a consulting environment
Experience with HealthVerity
Proficient in programming against large data assets with a working knowledge of SQL, preferably also knowledgeable in SAS and/or R
Subject matter expertise in a wide variety of healthcare data assets
Knowledge of the healthcare industry and analytics utilized by pharmaceutical marketing teams
Proven analytical, evaluative, and problem-solving abilities
Extensive experience working in a team-oriented, collaborative environment

Job Type: Contract",-1,"East Brunswick, NJ",-1,-1,-1,-1,-1,-1
"D. E. Shaw & Co., L.P. Logo",Machine Learning Developer,"$300,000","Join our Quantitative Strategies team in New York
Machine learning developers at the D. E. Shaw group work closely with researchers to creatively apply their knowledge of machine learning and software engineering to design, build, and maintain systems for high-performance, large-scale knowledge discovery in financial data. Machine learning developers have the opportunity to be part of an inclusive, collaborative, and engaging working environment.
News
Library
Contact
What you’ll do day-to-day
Specific responsibilities include designing, implementing, testing, and documenting modules for all stages of the pipeline from data to predictions, assembling these modules into end-to-end systems, and interacting with researchers to achieve highly productive experimentation, model construction, and validation.",4.4,United States,1001 to 5000 Employees,1988,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
Indeed Logo,Senior Data Scientist - Ranking Science,"$170,000","Join our Quantitative Strategies team in New York
Machine learning developers at the D. E. Shaw group work closely with researchers to creatively apply their knowledge of machine learning and software engineering to design, build, and maintain systems for high-performance, large-scale knowledge discovery in financial data. Machine learning developers have the opportunity to be part of an inclusive, collaborative, and engaging working environment.
News
Library
Contact
What you’ll do day-to-day
Specific responsibilities include designing, implementing, testing, and documenting modules for all stages of the pipeline from data to predictions, assembling these modules into end-to-end systems, and interacting with researchers to achieve highly productive experimentation, model construction, and validation.",4.2,United States,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
Indeed Logo,Senior Data Scientist - Ranking Science,"$170,000","Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.
(*comScore Total Visits, September 2023)
Day to Day
Indeed is the world’s largest marketplace for jobs, and we have a unique dataset of jobs, resumes, applications, and outcomes. The Core AI team is a research and development group that collaborates with partners across the company. We address ""big picture"" problems with strategic initiatives, and aim to deliver transformative, long-term value.",4.2,United States,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
E-Business International Logo,AWS Data Engineer/Scientist- Hybrid position,"$100,000","Required:
AWS Data Engineer
AWS Glue
Redshift
Cloud formation, and terraform experience.
Job Type: Full-time
Salary: $90,000.00 - $110,000.00 per year
Benefits:
401(k)
Dental insurance",3.6,United States,51 to 200 Employees,1992,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
"The Kenjya-Trusant Group, LLC Logo",(PMSS) Data Scientist III,"$126,068","Clearance Required: Secret (must be eligible for Top Secret Clearance)

Job Description:
The Kenjya-Trusant Group, LLC is seeking a candidate to fill the role of Data Scientist in support of Department of State (DOS)/Diplomatic Security contract. This contract provides support to DOS with Business Process Improvement, Organizational Change Management, Policy Support, Program and Communication Management, and Special Projects.",3.7,"Washington, DC",201 to 500 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
Micron Logo,Data Scientist,"$121,073","Our vision is to transform how the world uses information to enrich life for all.
Micron Technology is a world leader in innovating memory and storage solutions that accelerate the transformation of information into intelligence, inspiring the world to learn, communicate and advance faster than ever.
Work within Smart Manufacturing and Artificial Intelligence organization. Define, drive and deliver end to end smart manufacturing solution, integrated across functions of the business. Use automation, AI and machine learning to enhance Micron’s product development, business and administrative processes across the company. Work with an international team of data scientists, data engineers, software engineers, process and equipment engineers, process integration engineers, yield enhancement engineers, R&D, etc. in a collaborative manner to develop new data science solutions that improve quality, improve yield, reduce deviations, improve manufacturing cycle time, reduce cost, extend manufacturing capabilities, etc. Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, visualization, etc. to discover insightful patterns in the dataset. Work on projects and develop solutions that would be of high impact in various areas such as Fabrication plant, Assembly and Test and Procurement, etc. Work closely with IT and Supplier on data management, taking an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc. Developing new or enhancing prior data acquisition and ETL pipelinesfrom various sources into big data ecosystem. Developing responsive design web interface for result visualization and user interaction. Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics. Creating intuitive user interface for interactive data visualization to explain insights from data.",3.7,"Manassas, VA",10000+ Employees,1978,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Civis Analytics Logo,Applied Data Scientist I,"$80,000","What we do
At Civis Analytics, we bring objective, data-driven truth to organizational decision-making—from the boardroom to the world's largest social causes.
This mission isn't an aspiration: it's something we see realized every day, and it brings purpose to everything we're working on.
We combine a sophisticated SaaS product with our specialized data science consultancy to empower tens of thousands of active users to make millions of data-driven decisions every month. From joining disparate data sources and automating reporting, to building more elaborate models of targeted audiences and optimizing messages for them, organizations like the Bill and Melinda Gates Foundation, the City of Boston, and iHeart Radio trust Civis's technology to make their most critical decisions.",2.8,Remote,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD)
QxBranch Logo,Data Scientist QxBranch,"$85,206","Company Description

QxBranch delivers predictive analytics solutions leveraging the emerging potential of Quantum Computing. To make high-stakes, complex business decisions, you must have confidence in the underlying insights and predictions. But how sure can you be when those predictions are based on a proverbial “black box”? That’s why QxBranch Predictive Analytics solutions feature transparent data science, providing confidence in each prediction. To build Predictive Analytics solutions that endure, you must respond to changes in business concepts, market needs, and the underpinning technologies that deliver insights. QxBranch uses modern, adaptable data analytics tooling that can address your needs today, and is a leader in Quantum Computing software and applications that will enhance your solutions tomorrow.",5.0,"Washington, DC",1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
ComResource Logo,Data Scientist,"$101,330","ComResource is looking for a Data Scientist.

Responsibilities:
Research, evaluate, and implement artificial intelligence algorithms. Ensure projects are delivered in-line with reference architecture, road map and to the defined standards and best practices. Troubleshoot technical issues within ML platforms.
Diagnose business needs, analyze business processes, data flows, IT / technical artifacts and extract understanding of how the system or business process works as input for model development.",4.3,"Columbus, OH",201 to 500 Employees,1991,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
Integration Developer Network LLC Logo,Senior Data Scientist,$57.50,"Roles & Responsibilities
Bachelor’s degree in Mathematics, Statistics, Engineering, Computer Science, other related field, or equivalent years of relevant work experience is required.
8+ years of proven Data Science experience and involvement in packaged platform delivery and management.
Business acumen (strong understanding of how business operates, and how to harness data and analytics to meet business needs).
Experience in statistical and data mining techniques (such as boosting, generalized linear models/regression, random forests, trees, and social network analysis).",4.9,Remote,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Strive Health Logo,Sr. Data Scientist,"$120,800","What We Strive For
Strive Health is built for purpose — to transform a broken kidney care system. We are fundamentally changing the lives of people with kidney disease through early identification, engagement and comprehensive coordinated care. Strive's model is driven by a high-touch care team that integrates with local providers and spans the entire care journey from chronic kidney disease through end-stage kidney disease, leveraging comparative and predictive data and analytics to identify at-risk patients. Strive Health's interventions significantly reduce the rate of emergent dialysis crash, cut inpatient utilization and significantly improve patient outcomes and experience. Come join our journey as we create THE destination for top talent in the healthcare community and set a new standard for how kidney care should be done.",3.8,"Denver, CO",501 to 1000 Employees,2018,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
"Buyers Edge Platform, LLC Logo",Data Scientist,-1,"Who are we?
Buyers Edge Platform is one of the fastest-growing companies in the exciting Foodservice Technology industry. Buyers Edge Platform is made up of more than a dozen companies who work together to help restaurants and other foodservice operators reduce their costs, streamline their supply chains, and utilize technology to run their businesses more efficiently and profitably. We are driven by our entrepreneurial spirit, diverse portfolio of companies and our inclusive and collaborative atmosphere. Our values-focused culture is best experienced at one of our 14 offices, including marquee locations in Chicago, West Palm Beach, New London, CT and Waltham, MA.
This position is remote and based around East Coast working hours. We are unable to offer work sponsorship for this role.",4.3,Remote,4.3,-1,-1,-1,-1,-1
TK-CHAIN LLC Logo,Statistical Programmer,"$105,000","Minimum Requirements | Role Responsibilities
· Expertise in extracting, manipulating, summarizing, analyzing, and presenting data using SAS procedures· Expertise in SAS/MACRO, SQL, and SAS/BASE procedures· Expertise/experience in use of SAS/GRAPH and Statistical procedures· Highly experienced working in Clinical data and medical dictionaries· Knowledge of relational database principles· Able to program in Linuxenvironment· Strong understanding of clinical trials – how programming deliverables fit in to the process, what types of data are collected· Data structure understanding (BDS – Basic Data Structure, CDISC SDTM and ADaM)· Able to draft programming requirements from statisticalanalysis plan· Strong experience with studyreporting· Previous experience using CDARS –Preferable· Preferred Masters (US) BSc (Europe) in | · Create submission-ready standard data presentations and data sets using standard coding· Create submission-ready non-standard data presentations and data sets using non- standard coding· Conduct programming activities associated with interim analysis, QC, eSub, etc. as required· Develop and run production or QC programs· Review tables/listings, edit checks output and SAS programs, specifications, other programming documentation, etc to ensure quality ofdeliverables· Write complete, concise, and unambiguous technical documents (e.g., Lists of Tables, Mock tables, code specifications and program documentation, QC plans, QC implementation).· Understand and plan work to delivery timelines including allowing time for internal Pfizer QC, asappropriate· Work with supervisor and Pfizer contact to balance conflicting priorities· Understand timelines for andmilestones


statistics or a related science· Knowledge of routine statisticalmethodology and its application· Understands and applies the value of programming and process standards in the achievement of long-termobjectives· Understands the use of established standards, SOPs and best practices.· Independent, follows through on assignments, able to work with minimal oversight· Proven ability to propose and implement solutions to technical coding issues· Able to ask the right and critical questions; identify issues, explore options and make suggestions· Recognizes when negotiating skills are needed and seeksassistance· Ability to provide technical mentorship to junior programmers· May have experience of leading programming teams and projects and capable of managing at a compound or submission level· Excellent and proactive communication skills (especially around programmer assignment and output delivery time).· Excellent written and verbal communication skills and interpersonal skills and discussing analytical methods· Ability to make tactical decisions on defined aspects of statistical programming and processes/standards used in its development | affecting work and alert supervisor and Pfizer contact to potential slippage· Provide updates and alerts to points of contact (in time for remediation) including:o Potential slipped delivery timeo Planned change toresourceo Quality issues orconcerns· Ensure training done before embarking on a task· Alert supervisor and Pfizer contact where skills or knowledge are not adequate for the task set – seek help· Follow escalation process and neither suppress nor over-escalate issues· Ensure updates to action / progress logs are completed in timelyfashion· Produce accurate project status and progress reports as necessary· Coordinate work on multiple projects according topriorities· Suggest improvements to standard work processes e.g., suggests new software applications to improve work efficiency/quality· Supports and leads efforts to implement new concepts, process improvement, and technological advances for delivering outputs· Use and promote the use of established standards, SOPs and best practices.· Present technical information to a non- technical audience· May be a Primary contact to Pfizer for a group of programmers all working on same project· Project management of a study, a portfolio of studies, or submissions, managing overall day-to-dayoperations· Quality overview of programming activities",5.0,"Princeton, NJ",51 to 200 Employees,2018,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $25 million (USD)
ASUS Computer International Logo,Data Scientist,"$116,621","Job Description Overview:
As a data scientist, you will assist in the development of a data pipeline for the NUC Business Unit. You will identify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variables

Essential Duties and Responsibilities:
Digest large, complex transaction datasets into distilled analytics that help the business identify new opportunities.
Analyze data for trends and patterns and interpret data with clear objectives in mind.


Bachelor’s degree in computer science, data science or related field is desired",3.6,"Tempe, AZ",10000+ Employees,1989,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Profit by RPO Logo,Data Scientist,$73.00,"Responsibilities:
- Develop and implement advanced data analytics models and algorithms
- Perform data mining and analysis to uncover insights and trends
- Design and optimize databases for efficient data storage and retrieval
- Collaborate with cross-functional teams to identify business problems and develop data-driven solutions
- Apply machine learning techniques to develop predictive models and algorithms
- Utilize AI technologies to automate processes and improve efficiency
- Conduct statistical analysis and hypothesis testing to validate models and algorithms
- Create visualizations and reports to communicate findings to stakeholders",-1,United States,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
International Services Management Logo,Data Scientist,"$93,019","Candidate should have a BS degree with 5+ years of experience, a MS with 2+ years of experience or a PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields.

Please contact Johan van Wyk at johan@ismnow.com or submit your resume online.",-1,"Pittsburgh, PA",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
Zllius Inc. Logo,Data Scientist,-1,"Hi,
Greetings from Zllius Inc!
We have an urgent opening for the role Data Scientist If interested, revert me back with your Updated resume, along with contact details, work authorization.
Job Role: Data Scientist
Duration: Long-Term
Position Type: W2/ 1099
Visa: Any - H1B Transfer - OPT - CPT
Required Technical/Functional Skills
Strong proficiency with SQL and Python",-1,Remote,-1,-1,-1,-1,-1,-1
